Year,Month,A,B,C,D,E
2009,3,4.5,3.6,3.3,3.1,2.8
2009,4,4.3,3.5,3.2,2.9,2.5
2009,5,4.3,3.5,3.0,2.9,2.4
2009,6,4.2,3.5,3.0,2.8,2.5
2009,7,4.1,3.4,3.1,2.7,2.5
2009,8,4.0,3.5,3.0,2.7,2.3
2009,9,4.1,3.6,3.0,2.7,2.3
2009,10,4.1,3.6,3.0,2.7,2.4
2009,11,4.2,3.6,3.1,2.8,2.5
2009,12,4.1,3.6,3.1,2.7,2.4
2010,1,4.0,3.5,3.1,2.7,2.4
2010,2,4.0,3.4,3.1,2.7,2.3
2010,3,4.0,3.5,3.0,2.6,2.3
2010,4,4.0,3.5,3.1,2.8,2.5
2010,5,4.1,3.6,3.1,2.8,2.6
2010,6,4.1,3.6,3.1,2.8,2.6
2010,7,4.0,3.5,3.1,2.8,2.4
2010,8,4.0,3.5,3.0,2.8,2.4
2010,9,4.0,3.5,3.1,2.8,2.4
2010,10,4.0,3.5,3.1,2.8,2.5
2010,11,3.9,3.5,3.0,2.8,2.5
2010,12,3.9,3.5,3.0,2.7,2.5
2011,1,3.7,3.3,2.9,2.7,2.5
2011,2,3.6,3.2,2.8,2.7,2.4
2011,3,3.6,3.2,2.8,2.7,2.4
2011,4,3.6,3.2,2.9,2.6,2.4
2011,5,3.6,3.2,2.8,2.6,2.3
2011,6,3.6,3.3,2.9,2.6,2.3
2011,7,3.8,3.3,2.9,2.6,2.4
2011,8,3.8,3.3,3.0,2.7,2.5
2011,9,3.8,3.3,2.9,2.7,2.5
2011,10,3.8,3.3,3.0,2.7,2.5
2011,11,3.8,3.3,3.0,2.7,2.5
2011,12,3.8,3.3,3.0,2.7,2.4
2012,1,3.8,3.3,3.0,2.7,2.4
2012,2,3.7,3.2,2.9,2.7,2.4
2012,3,3.6,3.1,2.8,2.6,2.3
2012,4,3.5,3.1,2.8,2.6,2.3
2012,5,3.5,3.1,2.8,2.5,2.2
2012,6,3.6,3.1,2.8,2.5,2.2
2012,7,3.6,3.2,2.8,2.5,2.2
2012,8,3.5,3.2,2.8,2.5,2.2
2012,9,3.4,3.1,2.8,2.5,2.2
2012,10,3.4,3.1,2.8,2.5,2.2
2012,11,3.4,3.1,2.8,2.5,2.2
2012,12,3.3,3.0,2.8,2.5,2.2
2013,1,3.2,2.9,2.7,2.5,2.2
2013,2,3.2,2.9,2.6,2.4,2.1
2013,3,3.2,2.8,2.6,2.4,2.1
2013,4,3.2,2.9,2.6,2.4,2.1
2013,5,3.2,2.9,2.6,2.4,2.1
2013,6,3.1,2.8,2.7,2.4,2.1
2013,7,3.1,2.8,2.6,2.4,2.1
2013,8,3.1,2.8,2.6,2.4,2.1
2013,9,3.2,2.9,2.6,2.4,2.1
2013,10,3.2,2.9,2.6,2.4,2.1
2013,11,3.2,2.9,2.7,2.4,2.1
2013,12,3.2,2.9,2.6,2.4,2.1
2014,1,3.2,2.9,2.6,2.4,2.2
2014,2,3.2,2.9,2.6,2.4,2.1
2014,3,3.2,2.9,2.6,2.4,2.2
2014,4,3.2,2.9,2.7,2.5,2.2
2014,5,3.2,2.9,2.7,2.5,2.2
2014,6,3.1,2.8,2.7,2.4,2.2
2014,7,3.1,2.8,2.7,2.4,2.2
2014,8,3.1,2.8,2.7,2.4,2.2
2014,9,3.0,2.8,2.6,2.4,2.2
2014,10,3.0,2.8,2.6,2.4,2.2
2014,11,3.0,2.7,2.6,2.4,2.2
2014,12,3.0,2.7,2.6,2.4,2.2
2015,1,2.9,2.7,2.6,2.4,2.2
2015,2,2.9,2.6,2.6,2.3,2.1
2015,3,2.9,2.6,2.6,2.4,2.1
2015,4,2.9,2.6,2.6,2.4,2.2
2015,5,2.9,2.7,2.6,2.3,2.2
2015,6,2.9,2.7,2.6,2.3,2.2
2015,7,2.9,2.6,2.6,2.3,2.2
2015,8,2.9,2.7,2.6,2.4,2.2
2015,9,2.9,2.7,2.6,2.4,2.1
2015,10,2.9,2.7,2.6,2.4,2.2
2015,11,2.9,2.7,2.7,2.4,2.2
2015,12,3.0,2.7,2.6,2.4,2.3
2016,1,3.0,2.7,2.7,2.4,2.3
2016,2,3.0,2.7,2.6,2.4,2.3
2016,3,3.0,2.7,2.6,2.4,2.3
2016,4,3.0,2.7,2.6,2.4,2.2
2016,5,3.0,2.7,2.6,2.4,2.2
2016,6,3.1,2.7,2.6,2.4,2.2
2016,7,3.0,2.7,2.6,2.4,2.2
2016,8,3.0,2.7,2.6,2.4,2.2
2016,9,2.9,2.6,2.5,2.3,2.1
2016,10,2.9,2.6,2.5,2.3,2.1
2016,11,2.8,2.6,2.4,2.3,2.1
2016,12,2.9,2.6,2.5,2.3,2.0
2017,1,2.9,2.6,2.5,2.3,2.0
2017,2,2.9,2.6,2.5,2.3,2.0
2017,3,2.8,2.6,2.4,2.3,2.0
2017,4,2.8,2.5,2.4,2.3,2.1
2017,5,2.8,2.5,2.4,2.3,2.1
2017,6,2.8,2.5,2.4,2.3,2.0
2017,7,2.8,2.5,2.4,2.3,2.0
2017,8,2.8,2.5,2.4,2.3,2.0
2017,9,2.8,2.5,2.4,2.3,2.0
2017,10,2.8,2.5,2.4,2.2,2.0
2017,11,2.8,2.5,2.3,2.2,2.0
2017,12,2.7,2.5,2.3,2.2,2.0
2018,1,2.7,2.4,2.3,2.1,1.9
2018,2,2.6,2.4,2.3,2.1,1.9
2018,3,2.6,2.4,2.3,2.1,1.9
2018,4,2.6,2.4,2.3,2.1,2.0
2018,5,2.6,2.3,2.2,2.1,2.0
2018,6,2.6,2.3,2.2,2.1,2.0
2018,7,2.6,2.3,2.2,2.1,2.0
2018,8,2.6,2.3,2.2,2.1,2.0
2018,9,2.6,2.4,2.3,2.2,2.0
2018,10,2.7,2.4,2.3,2.2,2.1
2018,11,2.8,2.5,2.4,2.3,2.1
2018,12,2.8,2.5,2.4,2.2,2.1
2019,1,2.8,2.5,2.4,2.2,2.1
2019,2,2.7,2.5,2.3,2.2,2.1
2019,3,2.6,2.4,2.3,2.1,2.1
2019,4,2.5,2.3,2.2,2.1,2.1
2019,5,2.5,2.3,2.2,2.1,2.0
2019,6,2.6,2.3,2.2,2.1,2.0
2019,7,2.6,2.3,2.2,2.1,2.1
2019,8,2.7,2.4,2.3,2.1,2.2
2019,9,2.7,2.4,2.3,2.1,2.2
2019,10,2.6,2.4,2.3,2.1,2.2
2019,11,2.5,2.3,2.2,2.1,2.1
2019,12,2.6,2.3,2.3,2.1,2.1
2020,1,2.5,2.3,2.2,2.0,2.1
2020,2,2.5,2.3,2.3,2.1,2.0
2020,3,2.5,2.2,2.2,2.1,2.0
2020,4,2.4,2.2,2.2,2.1,2.0
2020,5,2.4,2.2,2.1,2.0,1.9
2020,6,2.4,2.2,2.1,2.0,1.9
2020,7,2.4,2.2,2.1,2.0,1.9
2020,8,2.4,2.2,2.2,2.0,1.9
2020,9,2.4,2.2,2.1,2.0,1.9
2020,10,2.4,2.2,2.1,2.1,2.0
2020,11,2.4,2.2,2.2,2.1,2.0
2020,12,2.4,2.2,2.1,2.0,1.9
2021,1,2.3,2.2,2.1,2.1,1.9
2021,2,2.3,2.1,2.1,2.0,1.8
2021,3,2.3,2.1,2.0,1.9,1.8
2021,4,2.3,2.1,2.1,2.0,1.9
2021,5,2.3,2.1,2.1,2.0,1.9
2021,6,2.4,2.1,2.1,2.0,1.9
2021,7,2.3,2.1,2.1,2.0,1.9
2021,8,2.4,2.2,2.1,2.0,1.9
2021,9,2.4,2.2,2.1,1.9,2.0
2021,10,2.4,2.2,2.1,2.0,2.0
2021,11,2.4,2.2,2.1,2.0,2.1
2021,12,2.4,2.2,2.1,2.0,2.1
2022,1,2.4,2.2,2.1,2.1,2.0
2022,2,2.4,2.2,2.1,2.1,2.1
2022,3,2.4,2.2,2.1,2.1,2.1
2022,4,2.4,2.2,2.1,2.1,2.1
2022,5,2.4,2.2,2.0,2.1,2.0
2022,6,2.4,2.2,2.1,2.1,2.0
2022,7,2.5,2.2,2.1,2.1,2.0
2022,8,2.6,2.3,2.2,2.0,2.0
2022,9,2.6,2.3,2.1,2.1,2.0
2022,10,2.7,2.4,2.2,2.1,2.1
2022,11,2.8,2.4,2.3,2.1,2.1
2022,12,2.8,2.4,2.3,2.1,2.0
2023,1,2.7,2.4,2.2,2.1,2.0
2023,2,2.7,2.3,2.2,2.1,1.9
2023,3,2.7,2.3,2.1,2.1,1.9
2023,4,2.7,2.3,2.2,2.1,1.9
2023,5,2.7,2.4,2.2,2.2,2.0
2023,6,2.8,2.4,2.3,2.2,2.1
2023,7,2.9,2.5,2.3,2.2,2.1
2023,8,3.0,2.6,2.3,2.2,2.1
2023,9,3.1,2.6,2.4,2.3,2.1
2023,10,3.1,2.7,2.4,2.3,2.2
2023,11,3.2,2.7,2.5,2.4,2.2
2023,12,3.2,2.8,2.5,2.4,2.2
2024,1,3.3,2.8,2.6,2.4,2.3
2024,2,3.3,2.8,2.5,2.4,2.2
2024,3,3.3,2.8,2.5,2.4,2.2
2024,4,3.3,2.8,2.5,2.4,2.2
2024,5,3.4,2.9,2.6,2.4,2.3
2024,6,3.5,3.0,2.6,2.4,2.3
2024,7,3.6,3.0,2.7,2.5,2.3
2024,8,3.7,3.1,2.8,2.5,2.4
2024,9,3.7,3.2,2.8,2.6,2.4
2024,10,3.6,3.1,2.8,2.5,2.4
2024,11,3.6,3.1,2.7,2.5,2.4
2024,12,3.6,3.1,2.7,2.5,2.4
2025,1,3.6,3.1,2.8,2.5,2.4
